티커,종목명,현재가($),수익률(%)
ANDE,Andersons Inc. (The) Common Stock,64.67,22.43
STEL,Stellar Bancorp Inc. Common Stock,38.66,22.42
NPK,National Presto Industries Inc. Common Stock,134.94,22.41
CMP,Compass Minerals Intl Inc Common Stock,25.52,22.4
MICC,The Magnum Ice Cream Company N.V. Ordinary Shares,18.3,22.24
ARW,Arrow Electronics Inc. Common Stock,137.99,22.14
OSK,Oshkosh Corporation (Holding Company)Common Stock,166.91,22.09
SEB,Seaboard Corporation Common Stock,5335.0,22.05
TRMD,TORM plc Class A Common Stock,24.29,22.0
NAT,Nordic American Tankers Limited Common Stock,4.16,21.99
UAA,Under Armour Inc. Class A Common Stock,6.61,21.96
ENR,Energizer Holdings Inc. Common Stock,23.38,21.96
JBIO,Jade Biosciences Inc. Common Stock,16.0,21.95
MFG,Mizuho Financial Group Inc. Sponosred ADR (Japan),9.29,21.92
ALKS,Alkermes plc Ordinary Shares,34.13,21.89
CVE,Cenovus Energy Inc Common Stock,20.28,21.88
FDX,FedEx Corporation Common Stock,362.54,21.88
AMLX,Amylyx Pharmaceuticals Inc. Common Stock,13.88,21.86
AIR,AAR Corp. Common Stock,107.13,21.71
DE,Deere & Company Common Stock,567.26,21.7
EXK,Endeavour Silver Corporation Ordinary Shares (Canada),11.88,21.6
WSFS,WSFS Financial Corporation Common Stock,68.73,21.56
MU,Micron Technology Inc. Common Stock,379.4,21.54
MOFG,MidWestOne Financial Gp Common Stock,47.34,21.53
EPC,Edgewell Personal Care Company Common Stock,20.42,21.48
PATK,Patrick Industries Inc. Common Stock,134.71,21.35
AMAL,Amalgamated Financial Corp. Common Stock (DE),40.52,21.29
AESI,Atlas Energy Solutions Inc. Common Stock,11.86,21.27
SVM,Silvercorp Metals Inc. Common Shares,10.62,21.23
TEN,Tsakos Energy Navigation Ltd Common Shares,26.32,21.23
EMN,Eastman Chemical Company Common Stock,78.49,21.22
FCBC,First Community Bankshares Inc. (VA) Common Stock,39.76,21.22
ARDX,Ardelyx Inc. Common Stock,7.38,21.18
ARMN,Aris Mining Corporation Common Shares,19.75,21.17
PWP,Perella Weinberg Partners Class A Common Stock,22.32,21.17
DAN,Dana Incorporated Common Stock ,30.31,21.09
AUGO,Aura Minerals Inc. Common Shares,63.42,20.98
CTS,CTS Corporation Common Stock,53.83,20.97
MGY,Magnolia Oil & Gas Corporation Class A Common Stock,26.39,20.94
TREX,Trex Company Inc. Common Stock,43.79,20.9
ULCC,Frontier Group Holdings Inc. Common Stock,5.85,20.87
UFPI,UFP Industries Inc. Common Stock,113.3,20.81
EWTX,Edgewise Therapeutics Inc. Common Stock,28.47,20.79
KWR,Quaker Houghton Common Stock,170.5,20.66
ENTG,Entegris Inc. Common Stock,112.41,20.61
BKR,Baker Hughes Company Class A Common Stock,59.17,20.58
FMC,FMC Corporation Common Stock,16.99,20.58
GME,GameStop Corporation Common Stock,24.98,20.56
NOG,Northern Oil and Gas Inc. Common Stock,25.31,20.52
WFG,West Fraser Timber Co. Ltd Common stock,76.69,20.49
AMWD,American Woodmark Corporation Common Stock,65.89,20.46
IMKTA,Ingles Markets Incorporated Class A Common Stock,83.28,20.46
BELFB,Bel Fuse Inc. Class B Common Stock,211.58,20.42
GOLF,Acushnet Holdings Corp. Common Stock,101.69,20.34
THR,Thermon Group Holdings Inc. Common Stock,46.19,20.29
NIC,Nicolet Bankshares Inc. Common Stock,149.17,20.25
VIST,Vista Energy S.A.B. de C.V. American Depositary Shares each representing one series A share with no par value,56.84,20.25
BALL,Ball Corporation Common Stock,64.81,20.22
PR,Permian Resources Corporation Class A Common Stock,16.61,20.19
TDY,Teledyne Technologies Incorporated Common Stock,629.73,20.16
PCVX,Vaxcyte Inc. Common Stock,55.28,20.1
DCOM,Dime Community Bancshares Inc. Common Stock,35.79,20.03
MCB,Metropolitan Bank Holding Corp. Common Stock,95.6,19.99
HBM,Hudbay Minerals Inc. Ordinary Shares (Canada),25.55,19.95
BFC,Bank First Corporation Common Stock,148.23,19.94
GPC,Genuine Parts Company Common Stock,147.95,19.91
ARVN,Arvinas Inc. Common Stock,13.39,19.87
RRX,Regal Rexnord Corporation Common Stock,178.3,19.83
MT,Arcelor Mittal NY Registry Shares NEW,55.98,19.82
NGL,NGL ENERGY PARTNERS LP Common Units representing Limited Partner Interests,11.86,19.8
DHT,DHT Holdings Inc.,13.94,19.76
COLM,Columbia Sportswear Company Common Stock,65.69,19.74
HTLD,Heartland Express Inc. Common Stock,11.78,19.72
PPG,PPG Industries Inc. Common Stock,125.95,19.71
PBF,PBF Energy Inc. Class A Common Stock,35.29,19.63
FBIN,Fortune Brands Innovations Inc. Common Stock,61.19,19.63
CHD,Church & Dwight Company Inc. Common Stock,100.59,19.59
CNQ,Canadian Natural Resources Limited Common Stock,38.53,19.55
MEOH,Methanex Corporation Common Stock,51.32,19.54
CNL,Collective Mining Ltd. Common Shares,17.26,19.53
ENS,EnerSys Common Stock,185.03,19.44
BCC,Boise Cascade L.L.C. Common Stock,90.23,19.35
VVV,Valvoline Inc. Common Stock,35.6,19.3
VAL,Valaris Limited Common Shares,62.11,19.19
GNRC,Generac Holdlings Inc. Common Stock,177.18,19.17
OLN,Olin Corporation Common Stock,25.44,19.16
SAM,Boston Beer Company Inc. (The) Common Stock,235.66,19.1
MPWR,Monolithic Power Systems Inc. Common Stock,1136.83,19.04
LPG,Dorian LPG Ltd. Common Stock,29.72,19.02
HUBG,Hub Group Inc. Class A Common Stock,52.53,19.01
LB,LandBridge Company LLC Class A Shares Representing Limited Liability Company Interests,55.48,18.9
VZ,Verizon Communications Inc. Common Stock,47.01,18.88
OVV,Ovintiv Inc. (DE),46.11,18.87
CHRW,C.H. Robinson Worldwide Inc. Common Stock,198.74,18.86
EXEEW,Expand Energy Corporation Class A Warrants,125.0,18.79
TKC,Turkcell Iletisim Hizmetleri AS Common Stock,6.7,18.79
PEP,PepsiCo Inc. Common Stock,166.18,18.77
CSL,Carlisle Companies Incorporated Common Stock,395.36,18.72
DVN,Devon Energy Corporation Common Stock,43.39,18.71
SU,Suncor Energy  Inc. Common Stock,53.14,18.7
ECO,Okeanis Eco Tankers Corp. Common Stock,39.14,18.68
CARR,Carrier Global Corporation Common Stock ,63.55,18.65
GRC,Gorman-Rupp Company (The) Common Stock,58.61,18.6
NGVT,Ingevity Corporation Common Stock ,72.17,18.58
SKYT,SkyWater Technology Inc. Common Stock,29.82,18.52
IR,Ingersoll Rand Inc. Common Stock,97.41,18.49
DCO,Ducommun Incorporated Common Stock,118.71,18.47
DAKT,Daktronics Inc. Common Stock,24.03,18.37
CGAU,Centerra Gold Inc. Common Shares,17.48,18.35
OII,Oceaneering International Inc. Common Stock,30.97,18.34
VIV,Telefonica Brasil S.A. American Depositary Shares (Each representing One Common Share),14.43,18.28
GFI,Gold Fields Limited American Depositary Shares,52.54,18.25
GRBK,Green Brick Partners Inc. Common Stock,75.27,18.22
CAG,ConAgra Brands Inc. Common Stock,19.8,18.21
ENLT,Enlight Renewable Energy Ltd. Ordinary Shares,59.14,18.09
CTRA,Coterra Energy Inc. Common Stock,30.49,18.09
MLKN,MillerKnoll Inc. Common Stock,21.71,18.05
TIMB,TIM S.A. American Depositary Shares (Each representing 5 Common Shares) ,23.57,18.03
CF,CF Industries Holdings Inc. Common Stock,94.7,17.99
FAST,Fastenal Company Common Stock,48.28,17.98
FOR,Forestar Group Inc Common Stock ,29.35,17.97
AVO,Mission Produce Inc. Common Stock,13.67,17.95
CON,Concentra Group Holdings Parent Inc. Common Stock,22.95,17.93
WERN,Werner Enterprises Inc. Common Stock,37.83,17.85
NBR,Nabors Industries Ltd.,68.64,17.84
LMT,Lockheed Martin Corporation Common Stock,602.76,17.83
MBC,MasterBrand Inc. Common Stock,13.28,17.83
IEX,IDEX Corporation Common Stock,212.25,17.82
DCI,Donaldson Company Inc. Common Stock,107.29,17.82
QURE,uniQure N.V. Ordinary Shares,26.65,17.76
XOM,Exxon Mobil Corporation Common Stock,147.59,17.73
ASTE,Astec Industries Inc. Common Stock,54.46,17.73
BUD,Anheuser-Busch Inbev SA Sponsored ADR (Belgium),74.48,17.72
GWW,W.W. Grainger Inc. Common Stock,1194.93,17.72
STZ,Constellation Brands Inc. Common Stock,166.68,17.72
WHD,Cactus Inc. Class A Common Stock,58.48,17.69
HNI,HNI Corporation Common Stock,50.3,17.69
IAG,Iamgold Corporation Ordinary Shares,19.2,17.65
CLX,Clorox Company (The) Common Stock,117.77,17.57
OBK,Origin Bancorp Inc. Common Stock,45.19,17.56
TPB,Turning Point Brands Inc. Common Stock,127.13,17.54
AMBP,Ardagh Metal Packaging S.A. Ordinary Shares,4.84,17.48
UAMY,United States Antimony Corporation Common Stock,8.07,17.47
SMP,Standard Motor Products Inc. Common Stock,43.59,17.46
FFBC,First Financial Bancorp. Common Stock,30.12,17.43
MTUS,Metallus Inc. Common Shares,21.36,17.43
KEP,Korea Electric Power Corporation Common Stock,20.74,17.31
RCL,Royal Caribbean Cruises Ltd. Common Stock,328.65,17.31
TTC,Toro Company (The) Common Stock,95.78,17.28
SLB,SLB Limited Common Shares,51.35,17.24
INR,Infinity Natural Resources Inc. Class A Common Stock,16.67,17.23
KMX,CarMax Inc,47.26,17.21
MHK,Mohawk Industries Inc. Common Stock,130.41,17.21
NSA,National Storage Affiliates Trust Common Shares of Beneficial Interest,32.58,17.19
RYI,Ryerson Holding Corporation Common Stock,30.54,17.15
CIB,Grupo Cibest S.A. American Depositary Shares each representing four Preferred Shares,77.94,17.15
HL,Hecla Mining Company Common Stock,23.11,17.13
PRMB,Primo Brands Corporation Class A Common Stock,19.51,17.11
PTEN,Patterson-UTI Energy Inc. Common Stock,7.95,17.08
WSO,Watsco Inc. Common Stock,409.92,17.08
FTI,TechnipFMC plc Ordinary Share,56.54,17.08
IPAR,Interparfums Inc. Common Stock,100.25,17.05
NOVTU,Novanta Inc. Tangible Equity Units,60.42,17.04
TYRA,Tyra Biosciences Inc. Common Stock,30.77,17.04
HON,Honeywell International Inc. Common Stock,235.35,17.04
FTAI,FTAI Aviation Ltd. Common Stock,264.37,17.0
IBP,Installed Building Products Inc. Common Stock,320.77,16.99
RS,Reliance Inc. Common Stock,346.73,16.91
MTRN,Materion Corporation,151.63,16.91
